epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,243.892,1.11056,0.57511,1.06036,0.94974,0.88965,0.94451,0.65254,1.05732,0.55413,1.10129,0.0015941,0.0015941,0.0015941
43,249.767,1.06934,0.56037,1.04829,0.95655,0.89348,0.94468,0.66988,1.00647,0.52415,1.08528,0.0015842,0.0015842,0.0015842
44,255.49,1.07523,0.57404,1.05229,0.93115,0.8782,0.92992,0.65255,1.05258,0.57088,1.11295,0.0015743,0.0015743,0.0015743
45,261.282,1.1004,0.57942,1.06689,0.95734,0.91076,0.94739,0.67801,1.02085,0.50418,1.09922,0.0015644,0.0015644,0.0015644
46,267.068,1.08094,0.56849,1.05572,0.95415,0.87838,0.93779,0.66116,1.06523,0.55959,1.1036,0.0015545,0.0015545,0.0015545
47,272.828,1.08809,0.56484,1.05372,0.95372,0.90316,0.95349,0.66839,1.04727,0.58326,1.10313,0.0015446,0.0015446,0.0015446
48,278.538,1.08459,0.55658,1.05348,0.95924,0.9026,0.95181,0.68281,1.03718,0.50857,1.10121,0.0015347,0.0015347,0.0015347
49,284.328,1.08797,0.55573,1.05938,0.92164,0.89736,0.94652,0.66833,1.03641,0.55047,1.10426,0.0015248,0.0015248,0.0015248
50,290.126,1.05522,0.54387,1.04418,0.95807,0.89022,0.95594,0.69401,0.95005,0.48818,1.0621,0.0015149,0.0015149,0.0015149
51,295.957,1.06564,0.55163,1.04683,0.98041,0.89355,0.95408,0.68231,0.96278,0.49928,1.058,0.001505,0.001505,0.001505
52,301.861,1.05777,0.54994,1.04179,0.94473,0.88961,0.9425,0.66864,1.0272,0.55296,1.08432,0.0014951,0.0014951,0.0014951
53,307.639,1.05299,0.55059,1.04132,0.9723,0.87662,0.94811,0.66466,0.99985,0.52494,1.08965,0.0014852,0.0014852,0.0014852
54,313.429,1.03186,0.53688,1.03579,0.96212,0.90714,0.95708,0.68488,1.01473,0.47913,1.08155,0.0014753,0.0014753,0.0014753
55,319.183,1.05856,0.54995,1.04969,0.96105,0.89123,0.95179,0.67469,1.03096,0.53674,1.09319,0.0014654,0.0014654,0.0014654
56,324.957,1.0661,0.54545,1.04359,0.96633,0.90584,0.96055,0.70452,0.96953,0.49744,1.06758,0.0014555,0.0014555,0.0014555
57,330.755,1.05672,0.54246,1.04637,0.95359,0.91234,0.95481,0.68822,0.96145,0.48984,1.0567,0.0014456,0.0014456,0.0014456
58,336.623,1.01807,0.52695,1.01965,0.97671,0.88799,0.95434,0.69149,1.00203,0.50288,1.08528,0.0014357,0.0014357,0.0014357
59,342.412,1.02818,0.53483,1.02909,0.96829,0.88961,0.94803,0.66651,1.10836,0.55139,1.13692,0.0014258,0.0014258,0.0014258
60,348.204,1.03012,0.53571,1.03464,0.94791,0.9026,0.95327,0.69252,0.96429,0.50299,1.0685,0.0014159,0.0014159,0.0014159
61,353.959,1.03646,0.5409,1.03374,0.95317,0.89223,0.9497,0.68897,0.98815,0.51575,1.07388,0.001406,0.001406,0.001406
62,359.75,1.02345,0.53034,1.03166,0.95332,0.89511,0.95365,0.68424,1.01002,0.51038,1.09557,0.0013961,0.0013961,0.0013961
63,365.566,1.02192,0.53227,1.02659,0.95457,0.9026,0.95728,0.69046,0.97248,0.50448,1.05677,0.0013862,0.0013862,0.0013862
64,371.303,1.00876,0.52353,1.02423,0.96497,0.89123,0.95408,0.68084,1.00918,0.49816,1.09129,0.0013763,0.0013763,0.0013763
65,377.05,1.01461,0.52852,1.02563,0.95674,0.89749,0.95558,0.69365,0.9658,0.50773,1.06999,0.0013664,0.0013664,0.0013664
66,382.918,0.97607,0.51003,1.006,0.96802,0.89773,0.95678,0.69795,0.94009,0.48466,1.05777,0.0013565,0.0013565,0.0013565
67,388.66,1.02256,0.52415,1.03153,0.97141,0.90584,0.95052,0.66805,1.02202,0.48093,1.09488,0.0013466,0.0013466,0.0013466
68,394.457,1.00544,0.51579,1.01507,0.96677,0.89737,0.95531,0.68122,0.97271,0.49005,1.07716,0.0013367,0.0013367,0.0013367
69,400.229,1.00781,0.52032,1.02219,0.95089,0.8961,0.95257,0.68989,0.9782,0.49328,1.07353,0.0013268,0.0013268,0.0013268
70,405.992,1.00208,0.51158,1.01823,0.95514,0.88961,0.95205,0.70003,0.96426,0.47722,1.06792,0.0013169,0.0013169,0.0013169
71,411.725,0.98623,0.50683,1.00952,0.97381,0.90537,0.96123,0.6985,0.98809,0.49217,1.08733,0.001307,0.001307,0.001307
72,417.496,0.98712,0.51265,1.01637,0.95709,0.90524,0.96034,0.70007,0.94048,0.47416,1.04802,0.0012971,0.0012971,0.0012971
73,423.258,0.98352,0.50677,1.01916,0.97943,0.89935,0.96035,0.70471,0.97094,0.47207,1.07513,0.0012872,0.0012872,0.0012872
74,429.063,0.98266,0.5082,1.00927,0.94422,0.89286,0.94676,0.69786,0.97231,0.49498,1.08803,0.0012773,0.0012773,0.0012773
75,434.894,0.97988,0.50013,1.01066,0.95695,0.90221,0.94838,0.67318,0.96367,0.49818,1.07822,0.0012674,0.0012674,0.0012674
76,440.634,0.98502,0.50603,1.00553,0.96836,0.8961,0.95922,0.70824,0.92041,0.46165,1.0544,0.0012575,0.0012575,0.0012575
77,446.405,0.98652,0.51124,1.01626,0.96552,0.90924,0.95852,0.68653,1.00159,0.48919,1.0744,0.0012476,0.0012476,0.0012476
78,452.18,0.96963,0.49613,1.00692,0.97636,0.89448,0.95786,0.70523,0.94115,0.47398,1.05544,0.0012377,0.0012377,0.0012377
79,457.954,0.98319,0.50398,1.01749,0.96361,0.90097,0.95631,0.69363,0.94437,0.46937,1.06475,0.0012278,0.0012278,0.0012278
80,463.737,0.98521,0.50827,1.01109,0.94261,0.89935,0.95723,0.66529,1.01971,0.50656,1.10022,0.0012179,0.0012179,0.0012179
81,469.56,0.95901,0.48853,1.00689,0.9367,0.91282,0.95562,0.69025,0.96924,0.47826,1.07763,0.001208,0.001208,0.001208
82,475.345,0.97749,0.49628,1.00424,0.95602,0.90422,0.95201,0.68717,0.9754,0.4805,1.06647,0.0011981,0.0011981,0.0011981
83,481.219,0.98662,0.50325,1.01104,0.96905,0.8961,0.95639,0.69595,0.9605,0.46506,1.06839,0.0011882,0.0011882,0.0011882
84,486.999,0.96624,0.492,1.00824,0.9573,0.91071,0.96001,0.70347,0.94561,0.45801,1.05402,0.0011783,0.0011783,0.0011783
85,492.774,0.94186,0.47835,0.99644,0.96809,0.88655,0.95496,0.6736,0.99718,0.49549,1.081,0.0011684,0.0011684,0.0011684
86,498.533,0.96192,0.49662,1.00387,0.96097,0.91939,0.95965,0.70388,0.92844,0.45344,1.05493,0.0011585,0.0011585,0.0011585
87,504.289,0.95955,0.48734,0.99693,0.97203,0.90267,0.96004,0.70899,0.94729,0.45551,1.06825,0.0011486,0.0011486,0.0011486
88,510.101,0.95739,0.48422,0.99813,0.93968,0.88799,0.95361,0.70064,0.93668,0.4807,1.07009,0.0011387,0.0011387,0.0011387
89,515.888,0.93069,0.47687,0.99268,0.93202,0.91246,0.95556,0.69651,0.98801,0.47412,1.08001,0.0011288,0.0011288,0.0011288
90,521.758,0.95113,0.4789,0.99456,0.96535,0.90461,0.95488,0.70064,0.94395,0.46441,1.07372,0.0011189,0.0011189,0.0011189
91,527.53,0.95527,0.48715,1.00102,0.96619,0.88132,0.9532,0.68853,0.9627,0.47968,1.07741,0.001109,0.001109,0.001109
92,533.302,0.92831,0.47172,0.99102,0.94495,0.91952,0.95868,0.70143,0.95211,0.46645,1.07703,0.0010991,0.0010991,0.0010991
93,539.051,0.93659,0.47824,0.99638,0.97167,0.89935,0.95872,0.69824,0.953,0.4649,1.0702,0.0010892,0.0010892,0.0010892
94,544.855,0.93723,0.47753,0.99113,0.97051,0.90809,0.95876,0.70184,0.92788,0.45399,1.04292,0.0010793,0.0010793,0.0010793
95,550.605,0.92705,0.47215,0.98908,0.95887,0.90829,0.95804,0.69114,0.97243,0.48038,1.07873,0.0010694,0.0010694,0.0010694
96,556.381,0.94973,0.4852,1.00033,0.97812,0.90747,0.96203,0.69351,0.97195,0.47211,1.09433,0.0010595,0.0010595,0.0010595
97,562.109,0.92834,0.46976,0.99219,0.9609,0.91757,0.96072,0.70155,0.93425,0.46729,1.05433,0.0010496,0.0010496,0.0010496
98,567.93,0.9186,0.47697,0.98313,0.97362,0.8986,0.95848,0.693,0.98993,0.47371,1.08867,0.0010397,0.0010397,0.0010397
99,573.679,0.92079,0.4739,0.98872,0.94908,0.90764,0.95582,0.6809,0.98678,0.47223,1.07291,0.0010298,0.0010298,0.0010298
100,579.446,0.90598,0.4616,0.98193,0.96853,0.88961,0.95275,0.6853,0.99085,0.48249,1.09411,0.0010199,0.0010199,0.0010199
101,585.243,0.91488,0.46856,0.98326,0.96578,0.89773,0.95406,0.69698,0.96037,0.46884,1.0758,0.00101,0.00101,0.00101
102,591.008,0.9115,0.46971,0.98234,0.97058,0.91029,0.9547,0.69901,0.95089,0.45883,1.06957,0.0010001,0.0010001,0.0010001
103,596.807,0.90121,0.4618,0.97951,0.96349,0.91558,0.96239,0.70414,0.9615,0.44648,1.07364,0.0009902,0.0009902,0.0009902
104,602.69,0.91436,0.46779,0.98403,0.96015,0.90747,0.95987,0.69343,0.99228,0.47423,1.0902,0.0009803,0.0009803,0.0009803
105,608.439,0.91282,0.46233,0.98615,0.96222,0.90966,0.95905,0.69999,0.97417,0.45463,1.07717,0.0009704,0.0009704,0.0009704
106,614.18,0.90341,0.46897,0.98151,0.97545,0.90292,0.95844,0.70019,0.97755,0.47429,1.08654,0.0009605,0.0009605,0.0009605
107,619.94,0.90123,0.46278,0.98138,0.94931,0.91396,0.95547,0.68179,1.00251,0.47393,1.1041,0.0009506,0.0009506,0.0009506
