epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44958,1.64894,3.03502,1.45519,0.958,0.80029,0.8994,0.56573,1.33403,0.8463,1.30994,0.000657778,0.000657778,0.000657778
2,12.0606,1.58984,1.0674,1.34234,0.77249,0.75439,0.8252,0.43732,1.5696,2.56196,1.46671,0.00131133,0.00131133,0.00131133
3,17.6262,1.63383,1.06598,1.367,0.32078,0.66667,0.26244,0.11915,1.91209,13.2456,2.00759,0.00195169,0.00195169,0.00195169
4,23.0737,1.68746,1.05575,1.41199,0.90231,0.77193,0.84472,0.49327,1.57485,1.0421,1.43718,0.0019406,0.0019406,0.0019406
5,28.5754,1.57145,0.95874,1.3447,0.89299,0.87843,0.90711,0.58305,1.29522,0.87003,1.29812,0.0019208,0.0019208,0.0019208
6,34.0747,1.54362,0.91875,1.33169,0.76006,0.70393,0.76509,0.42063,1.71535,1.21646,1.55485,0.001901,0.001901,0.001901
7,39.5212,1.50518,0.88783,1.30344,0.94555,0.88889,0.9405,0.61559,1.27726,0.97973,1.22527,0.0018812,0.0018812,0.0018812
8,45.0388,1.47386,0.85324,1.29299,0.97235,0.87719,0.92441,0.61334,1.24701,0.79746,1.22995,0.0018614,0.0018614,0.0018614
9,50.4791,1.47117,0.83526,1.29234,0.81422,0.84211,0.87386,0.53923,1.37609,0.82036,1.30859,0.0018416,0.0018416,0.0018416
10,55.9323,1.431,0.83434,1.26142,0.92112,0.87719,0.93301,0.66265,1.08645,0.68404,1.15821,0.0018218,0.0018218,0.0018218
11,61.4237,1.4135,0.80346,1.25349,0.94998,0.88842,0.94411,0.64013,1.09469,0.7087,1.15126,0.001802,0.001802,0.001802
12,66.8886,1.40334,0.81187,1.25518,0.98096,0.90375,0.95223,0.65835,1.11007,0.68426,1.18365,0.0017822,0.0017822,0.0017822
13,72.3669,1.33947,0.75953,1.2123,0.92411,0.87719,0.92948,0.62382,1.19654,0.65439,1.2131,0.0017624,0.0017624,0.0017624
14,77.8512,1.33748,0.74347,1.21578,0.8682,0.88304,0.91801,0.53543,1.34648,0.73542,1.26343,0.0017426,0.0017426,0.0017426
15,83.3432,1.33867,0.7453,1.21521,0.96144,0.87492,0.94707,0.65593,1.06147,0.62513,1.14415,0.0017228,0.0017228,0.0017228
16,88.7922,1.31882,0.74313,1.21327,0.95725,0.91813,0.96749,0.70226,1.0461,0.57844,1.12999,0.001703,0.001703,0.001703
17,94.2818,1.32602,0.73666,1.2107,0.92685,0.8892,0.94909,0.65169,1.08251,0.62741,1.18463,0.0016832,0.0016832,0.0016832
18,99.7529,1.30519,0.7112,1.20594,0.98348,0.88889,0.9592,0.70148,0.99934,0.5401,1.11776,0.0016634,0.0016634,0.0016634
19,105.249,1.28038,0.70791,1.18289,0.94376,0.88323,0.95599,0.66269,1.12796,0.6209,1.14862,0.0016436,0.0016436,0.0016436
20,110.707,1.26546,0.712,1.18355,0.91789,0.91518,0.95519,0.68619,1.03827,0.55979,1.12798,0.0016238,0.0016238,0.0016238
21,116.183,1.25871,0.69683,1.1743,0.91014,0.88848,0.93917,0.6689,1.03524,0.6027,1.11491,0.001604,0.001604,0.001604
22,121.634,1.26696,0.69863,1.17358,0.94364,0.88889,0.95641,0.68357,1.05525,0.57683,1.1264,0.0015842,0.0015842,0.0015842
23,127.086,1.21167,0.67587,1.16068,0.96624,0.84211,0.9439,0.656,1.18153,0.61444,1.1881,0.0015644,0.0015644,0.0015644
24,132.548,1.22025,0.69454,1.16783,0.93336,0.90096,0.9547,0.68595,1.1012,0.58591,1.16205,0.0015446,0.0015446,0.0015446
25,138.045,1.23268,0.66803,1.15156,0.98725,0.90533,0.95745,0.68061,1.11377,0.53333,1.14438,0.0015248,0.0015248,0.0015248
26,143.511,1.21378,0.65285,1.15097,0.96833,0.92398,0.96042,0.69247,1.04702,0.5594,1.15,0.001505,0.001505,0.001505
27,148.97,1.18404,0.65689,1.15222,0.96911,0.91741,0.9547,0.69955,1.07437,0.54635,1.15658,0.0014852,0.0014852,0.0014852
28,154.416,1.18284,0.65881,1.1409,0.96951,0.90643,0.95571,0.69139,1.06008,0.54576,1.14883,0.0014654,0.0014654,0.0014654
29,159.897,1.13479,0.61163,1.12521,0.96875,0.90634,0.95421,0.6623,1.18308,0.55026,1.1994,0.0014456,0.0014456,0.0014456
30,165.384,1.16935,0.64379,1.13041,0.96434,0.90643,0.9576,0.71258,1.01538,0.49606,1.12642,0.0014258,0.0014258,0.0014258
31,170.904,1.13849,0.6313,1.11633,0.98738,0.91512,0.973,0.69403,1.04869,0.5208,1.12784,0.001406,0.001406,0.001406
32,176.411,1.18825,0.64079,1.13429,0.97308,0.90643,0.95848,0.68258,0.98929,0.56126,1.10416,0.0013862,0.0013862,0.0013862
33,181.888,1.12232,0.62859,1.12297,0.96373,0.91813,0.96767,0.7349,0.94795,0.4866,1.09069,0.0013664,0.0013664,0.0013664
34,187.369,1.12062,0.60571,1.11389,0.97579,0.9427,0.97708,0.7263,0.98596,0.46754,1.1085,0.0013466,0.0013466,0.0013466
35,192.784,1.10557,0.61048,1.10814,0.97536,0.9261,0.97594,0.7263,0.98584,0.50574,1.1039,0.0013268,0.0013268,0.0013268
36,198.267,1.0918,0.59709,1.10612,0.95639,0.90643,0.97171,0.70855,0.98887,0.5033,1.10946,0.001307,0.001307,0.001307
37,203.744,1.08314,0.5973,1.09504,0.97704,0.88889,0.96343,0.72874,0.95773,0.47929,1.08853,0.0012872,0.0012872,0.0012872
38,209.19,1.07295,0.58907,1.09112,0.9753,0.92353,0.97049,0.71465,0.96771,0.49807,1.0981,0.0012674,0.0012674,0.0012674
39,214.654,1.04755,0.57148,1.08039,0.98114,0.91257,0.97707,0.74597,0.94197,0.48633,1.09555,0.0012476,0.0012476,0.0012476
40,220.181,1.04806,0.57693,1.08533,0.96471,0.90058,0.96488,0.72308,0.95416,0.48854,1.12455,0.0012278,0.0012278,0.0012278
41,225.606,1.07427,0.5895,1.10197,0.98859,0.88889,0.9672,0.7006,1.01388,0.49804,1.12091,0.001208,0.001208,0.001208
42,231.089,1.03414,0.57199,1.0715,0.93278,0.91813,0.95436,0.71899,0.9671,0.5043,1.11011,0.0011882,0.0011882,0.0011882
43,236.57,1.04706,0.57625,1.08467,0.96535,0.91228,0.96364,0.72244,0.94616,0.49404,1.10053,0.0011684,0.0011684,0.0011684
44,242.033,1.03135,0.57304,1.06351,0.98103,0.90643,0.96396,0.71545,0.98669,0.50671,1.10918,0.0011486,0.0011486,0.0011486
45,247.511,1.01516,0.56813,1.06902,0.98872,0.88304,0.96009,0.73328,0.98074,0.48812,1.10502,0.0011288,0.0011288,0.0011288
46,253.001,1.02005,0.56837,1.07456,0.98412,0.92398,0.97782,0.7461,0.90701,0.45963,1.06421,0.001109,0.001109,0.001109
47,258.533,1.02476,0.56501,1.07274,0.93926,0.92398,0.96399,0.73678,0.9593,0.49254,1.10299,0.0010892,0.0010892,0.0010892
48,264.04,1.00448,0.5623,1.06493,0.97543,0.92871,0.97442,0.7414,0.93191,0.47851,1.1011,0.0010694,0.0010694,0.0010694
49,269.544,0.96819,0.52863,1.03892,0.97931,0.91813,0.96921,0.7509,0.91561,0.44607,1.09616,0.0010496,0.0010496,0.0010496
50,275.07,0.98288,0.54103,1.05647,0.98126,0.91851,0.97384,0.74569,0.93731,0.46628,1.08025,0.0010298,0.0010298,0.0010298
51,280.55,0.96872,0.53274,1.04514,0.95025,0.94737,0.97726,0.74833,0.94437,0.44261,1.10736,0.00101,0.00101,0.00101
52,286.039,0.97833,0.53855,1.04016,0.97504,0.93567,0.97797,0.77268,0.86468,0.43291,1.05707,0.0009902,0.0009902,0.0009902
53,291.572,0.94024,0.53126,1.02878,0.96377,0.93339,0.97452,0.74423,0.94021,0.45593,1.10148,0.0009704,0.0009704,0.0009704
