epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,297.062,0.95288,0.53644,1.04579,0.99682,0.88304,0.97156,0.75017,0.89682,0.46443,1.07763,0.0009506,0.0009506,0.0009506
55,302.596,0.9407,0.54009,1.03464,0.96537,0.92398,0.97215,0.73948,0.91217,0.46989,1.09154,0.0009308,0.0009308,0.0009308
56,308.115,0.93904,0.52231,1.01854,0.96089,0.91813,0.97054,0.74894,0.88724,0.46467,1.06009,0.000911,0.000911,0.000911
57,313.631,0.93506,0.52478,1.04154,0.98029,0.91228,0.97182,0.76032,0.86307,0.43399,1.08066,0.0008912,0.0008912,0.0008912
58,319.126,0.93273,0.51883,1.0429,0.96972,0.90643,0.97394,0.76593,0.83947,0.42723,1.05786,0.0008714,0.0008714,0.0008714
59,324.599,0.93279,0.52227,1.02316,0.96275,0.90676,0.96273,0.72313,0.96252,0.45551,1.12829,0.0008516,0.0008516,0.0008516
60,330.076,0.92475,0.52471,1.02691,0.96989,0.89474,0.96975,0.71837,0.99253,0.46491,1.11366,0.0008318,0.0008318,0.0008318
61,335.559,0.9241,0.51416,1.02461,0.95804,0.93475,0.9723,0.75474,0.86761,0.43753,1.07045,0.000812,0.000812,0.000812
62,341.03,0.92209,0.51602,1.03279,0.97529,0.9232,0.97462,0.75302,0.84482,0.45147,1.04697,0.0007922,0.0007922,0.0007922
63,346.543,0.90588,0.51099,1.01761,0.99295,0.91228,0.96767,0.72914,0.94638,0.45202,1.11676,0.0007724,0.0007724,0.0007724
64,352.034,0.90281,0.51674,1.01957,0.97519,0.91942,0.95706,0.72185,0.91025,0.46062,1.07189,0.0007526,0.0007526,0.0007526
65,357.564,0.91129,0.50986,1.01881,0.98162,0.93716,0.97792,0.74893,0.89277,0.42257,1.09053,0.0007328,0.0007328,0.0007328
66,363.05,0.86562,0.49085,1.00944,0.94264,0.94737,0.96918,0.75554,0.8748,0.40913,1.0795,0.000713,0.000713,0.000713
67,368.577,0.88954,0.49816,1.01409,0.96756,0.92398,0.96653,0.74584,0.89843,0.42545,1.07989,0.0006932,0.0006932,0.0006932
68,374.6,0.88359,0.48965,1.01461,0.9876,0.93187,0.97903,0.76718,0.84104,0.4008,1.05807,0.0006734,0.0006734,0.0006734
69,380.111,0.87832,0.48418,1.01322,0.98934,0.94152,0.98091,0.76759,0.83758,0.41785,1.05027,0.0006536,0.0006536,0.0006536
70,385.573,0.86527,0.47286,1.0089,0.99293,0.94737,0.98032,0.76546,0.84378,0.40206,1.06576,0.0006338,0.0006338,0.0006338
71,391.115,0.85992,0.49414,1.00081,0.98768,0.93757,0.97822,0.76315,0.83108,0.4061,1.05003,0.000614,0.000614,0.000614
72,396.617,0.86035,0.47276,0.99967,0.97547,0.94152,0.97664,0.76693,0.86186,0.40573,1.07403,0.0005942,0.0005942,0.0005942
73,402.146,0.84049,0.46582,0.99671,0.98943,0.94152,0.9763,0.75365,0.86831,0.41365,1.07378,0.0005744,0.0005744,0.0005744
74,407.629,0.83524,0.46396,0.99457,0.99138,0.92982,0.97758,0.75094,0.88652,0.41321,1.0719,0.0005546,0.0005546,0.0005546
75,413.103,0.81981,0.46825,0.98107,0.9696,0.93271,0.97588,0.75331,0.87979,0.41331,1.10073,0.0005348,0.0005348,0.0005348
76,418.595,0.83831,0.47169,0.99563,0.98785,0.95059,0.98156,0.74485,0.90469,0.41237,1.10031,0.000515,0.000515,0.000515
77,424.092,0.83088,0.45648,0.9861,0.98756,0.92812,0.97712,0.76101,0.84543,0.39424,1.06645,0.0004952,0.0004952,0.0004952
78,429.587,0.78944,0.45105,0.97545,0.96471,0.95906,0.98023,0.77975,0.82512,0.3858,1.05424,0.0004754,0.0004754,0.0004754
79,435.129,0.8059,0.4446,0.9807,0.97925,0.93567,0.97611,0.75289,0.85824,0.41122,1.07077,0.0004556,0.0004556,0.0004556
80,440.645,0.81458,0.45075,0.98916,0.97575,0.94114,0.97762,0.77091,0.80036,0.38902,1.04482,0.0004358,0.0004358,0.0004358
81,446.146,0.79031,0.44518,0.97568,0.97113,0.94737,0.97793,0.75981,0.84689,0.38648,1.06315,0.000416,0.000416,0.000416
82,451.676,0.76711,0.43371,0.97537,0.95853,0.94617,0.97593,0.75607,0.87834,0.41053,1.06879,0.0003962,0.0003962,0.0003962
83,457.169,0.78494,0.44408,0.96683,0.95641,0.95322,0.97812,0.75903,0.86566,0.4088,1.06752,0.0003764,0.0003764,0.0003764
84,462.665,0.7966,0.43951,0.97601,0.96984,0.94016,0.97138,0.75929,0.87085,0.39323,1.08088,0.0003566,0.0003566,0.0003566
85,468.167,0.78013,0.43459,0.96824,0.98126,0.91846,0.97766,0.76482,0.84271,0.38167,1.06365,0.0003368,0.0003368,0.0003368
86,473.67,0.77107,0.4267,0.96607,0.98156,0.9339,0.97617,0.73988,0.90763,0.40142,1.10428,0.000317,0.000317,0.000317
87,479.168,0.7707,0.43484,0.96809,0.95905,0.95862,0.97619,0.75214,0.85761,0.39364,1.08234,0.0002972,0.0002972,0.0002972
88,484.634,0.76113,0.4334,0.96871,0.99383,0.94149,0.97456,0.74218,0.88283,0.39165,1.08897,0.0002774,0.0002774,0.0002774
89,490.108,0.76029,0.42882,0.96365,0.9775,0.95906,0.97566,0.75378,0.83842,0.40421,1.06034,0.0002576,0.0002576,0.0002576
90,495.638,0.74895,0.42238,0.9553,0.98212,0.9635,0.98248,0.77625,0.81799,0.39349,1.0422,0.0002378,0.0002378,0.0002378
91,501.498,0.72549,0.3873,0.95742,0.98546,0.94152,0.9829,0.75236,0.85688,0.3873,1.07981,0.000218,0.000218,0.000218
92,506.991,0.69551,0.36787,0.93836,0.98764,0.93486,0.97155,0.75848,0.86378,0.3897,1.08765,0.0001982,0.0001982,0.0001982
93,512.474,0.70295,0.37404,0.95195,0.98409,0.94737,0.97702,0.75654,0.87987,0.39324,1.10391,0.0001784,0.0001784,0.0001784
94,517.946,0.70623,0.37964,0.95877,0.97,0.94527,0.97074,0.75009,0.86308,0.38838,1.07903,0.0001586,0.0001586,0.0001586
95,523.431,0.67836,0.36951,0.9547,0.96365,0.93013,0.97054,0.755,0.86609,0.39694,1.08109,0.0001388,0.0001388,0.0001388
96,528.918,0.67029,0.36814,0.93979,0.98214,0.93567,0.97835,0.77071,0.83122,0.38708,1.05825,0.000119,0.000119,0.000119
97,534.438,0.65795,0.36139,0.94473,0.98178,0.94518,0.98268,0.76406,0.83934,0.38048,1.06874,9.92e-05,9.92e-05,9.92e-05
98,539.887,0.65975,0.36721,0.935,0.97589,0.94678,0.98005,0.76895,0.841,0.39326,1.06551,7.94e-05,7.94e-05,7.94e-05
99,545.362,0.65302,0.36091,0.94144,0.98795,0.95857,0.98275,0.77461,0.824,0.3858,1.0597,5.96e-05,5.96e-05,5.96e-05
100,550.86,0.64608,0.35472,0.94325,0.96929,0.95322,0.98203,0.76861,0.82643,0.38663,1.05971,3.98e-05,3.98e-05,3.98e-05
